,title,author,url,page_count,price,currently_reading_count,wanting_to_read_count,average_rating,amount_rating,publishing_year
160,"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,/book/show/60657589-emily-wilde-s-encyclopaedia-of-faeries,317,,10700.0,334000.0,4.01,115534,2023
161,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,/book/show/32718027-the-city-of-brass,532,,14500.0,334000.0,4.15,130255,2017
162,Catch-22 (Paperback),Joseph Heller,/book/show/168668.Catch_22,453,,32500.0,901000.0,3.99,842599,1961
163,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,/book/show/48727813-she-who-became-the-sun,416,,9483.0,333000.0,3.86,77148,2021
164,Heartless (Hardcover),Marissa Meyer,/book/show/18584855-heartless,453,Unlimited,14500.0,380000.0,4.09,213685,2016
165,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,/book/show/19161852-the-fifth-season,468,,28100.0,475000.0,4.3,284561,2015
166,"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,/book/show/35796008-dance-of-thieves,512,,14500.0,495000.0,4.13,158095,2018
167,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,/book/show/58679358-one-of-us-is-lying,416,,34500.0,810000.0,3.93,906808,2017
168,"Scythe (Arc of a Scythe, #1)",Neal Shusterman,/book/show/28954189-scythe,435,,19400.0,406000.0,4.33,340993,2016
169,Archer's Voice (ebook),Mia Sheridan,/book/show/32822135-archer-s-voice,377,Unlimited,20100.0,632000.0,4.21,527289,2014
170,"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,/book/show/25489134-the-bear-and-the-nightingale,319,,13200.0,362000.0,4.1,207158,2017
171,Looking for Alaska (Paperback),John Green,/book/show/99561.Looking_for_Alaska,221,8.99,33100.0,773000.0,3.97,1642984,2005
172,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition),James Clear,/book/show/40121378-atomic-habits,319,12.99,224000.0,1000000.0,4.35,969351,2018
173,"The Ex Hex (The Ex Hex, #1)",Erin Sterling,/book/show/56554626-the-ex-hex,308,,7796.0,278000.0,3.49,211198,2021
174,"Allegiant (Divergent, #3)",Veronica Roth,/book/show/18710190-allegiant,531,,22400.0,314000.0,3.6,1078306,2013
175,"The Final Empire (Mistborn, #1)",Brandon Sanderson,/book/show/68428.The_Final_Empire,541,,47700.0,,4.48,747925,2006
176,"Illuminae (The Illuminae Files, #1)",Amie Kaufman,/book/show/23395680-illuminae,608,,6263.0,224000.0,4.24,154692,2015
177,"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,/book/show/16085481-crazy-rich-asians,403,,34600.0,281000.0,3.91,507666,2013
178,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,/book/show/6068551-shiver,392,,6411.0,390000.0,3.76,485646,2009
179,The Heaven & Earth Grocery Store (Hardcover),James   McBride,/book/show/65678550-the-heaven-earth-grocery-store,385,13.99,47700.0,353000.0,3.99,212983,2023
180,"Black Leopard, Red Wolf (The Dark Star Trilogy, #1)",Marlon James,/book/show/50608676-black-leopard-red-wolf,640,,9628.0,142000.0,3.45,29015,2019
181,The Only Good Indians (Hardcover),Stephen Graham Jones,/book/show/52180399-the-only-good-indians,305,12.99,7950.0,199000.0,3.7,87380,2020
182,Jane Eyre (Paperback),Charlotte Brontë,/book/show/10210.Jane_Eyre,532,3.53,504.0,5189.0,4.15,2140996,1847
183,"Gild (The Plated Prisoner, #1)",Raven Kennedy,/book/show/56483061-gild,402,,17900.0,333000.0,3.59,177127,2020
184,It Starts with Us (It Ends with Us #2),Colleen Hoover,/book/show/60393672-it-starts-with-us,323,,77400.0,699000.0,3.86,1709809,2022
185,Everything I Know About Love (Hardcover),Dolly Alderton,/book/show/46041465-everything-i-know-about-love,368,Unlimited,44000.0,495000.0,4.0,363290,2018
